date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-01-28T19:31:29.138942+00:00,340001,ATRIUM HEALTH CABARRUS,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11165/560529945-1487866315_the-charlotte-mecklenburg-hospital-authority_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138948+00:00,340003,NORTHERN REGIONAL HOSPITAL,SKIPPED,https://machine-readable-files.com/northern-regional-hospital/566015416_Northern-Regional-Hospital_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138952+00:00,340002,MISSION HOSPITAL,SKIPPED,https://www.hcadam.com/api/public/content/9995062d911c4dce9c2a73c479104f33?download=true,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138957+00:00,340007,CONE HEALTH ANNIE PENN HOSPITAL,SKIPPED,https://rca.centaurihs.com/ptapp/api/cdm/export/oneclick?recno=5513c0b0708cfdba6ecf6c72ebc0ceff139528327651bb768f8dc97ad86227ee,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.138961+00:00,340004,ATRIUM HEALTH WAKE FOREST BAPTIST HIGH POINT MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11240/560532309_high-point-regional-health_standardcharges.csv,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.138966+00:00,340008,SCOTLAND MEMORIAL HOSPITAL,SKIPPED,https://machine-readable-files.com/scotland-memorial-hospital/560583151_scotland-memorial-hospital_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138970+00:00,340010,WAYNE UNC HEALTHCARE,SKIPPED,http://rca.centaurihs.com/ptapp/api/cdm/export/oneclick?recno=968964e8e349e2289a4b94ee72948c71b877ce89d0b9cdeb45d61e126eab9896,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138974+00:00,340013,RUTHERFORD REGIONAL HEALTH SYSTEM,SKIPPED,https://www.myrutherfordregional.com/docs/ahrutherfordregionalhealthsystemlibraries/hcl/mrf2q25/300811171_rutherford-regional-medical-center_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138978+00:00,340016,HARRIS REGIONAL HOSPITAL,SKIPPED,https://www.myharrisregional.com/docs/ahharrisregionallibraries/hcl/mrf2q25/383932775_harris-regional-hospital_standardcharges.csv,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.138982+00:00,340014,NOVANT HEALTH FORSYTH MEDICAL CENTER,SKIPPED,https://www2.novanthealth.org/Public_Files/regulatory/56-0928089_novant_health_forsyth_medical_center_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138986+00:00,340015,NOVANT HEALTH ROWAN MEDICAL CENTER,SKIPPED,https://www2.novanthealth.org/Public_Files/regulatory/56-0547479_novant_health_rowan_medical_center_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.138990+00:00,340021,ATRIUM HEALTH CLEVELAND,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11166/560529945-1326442336_the-charlotte-mecklenburg-hospital-authority_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.138995+00:00,340020,CENTRAL CAROLINA HOSPITAL,SKIPPED,https://www.centralcarolinahosp.com/docs/ahcentralcarolinahospitallibraries/hcl/mrf3q25/810691912_central-carolina-hospital_standardcharges.csv,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.138999+00:00,340023,ADVENTHEALTH HENDERSONVILLE,SKIPPED,https://www.adventhealth.com/sites/default/files/CDM/2025/560543246_AdventHealth-Hendersonville_standardcharges.json,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.139002+00:00,340024,SAMPSON REGIONAL MEDICAL CENTER,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSRMCCLINTONNC&type=CDMWithoutLabel&fileType=CSV,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.139006+00:00,340028,CAPE FEAR VALLEY MEDICAL CENTER,SKIPPED,https://www.capefearvalley.com/sites/default/files/Pricing%20and%20Billing/560845796_CFV-Medical-Center_standardcharges.zip,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.139011+00:00,340017,UNC HEALTH PARDEE,SKIPPED,https://rca.centaurihs.com/ptapp/#ba3c4e2c4a2e1f7ea210c970fc4319b1465e1ac06ec9ea1c4d6cfc8c1be9351c,,,No scraper for format: None,
2026-01-28T19:31:29.139015+00:00,340030,DUKE UNIVERSITY HOSPITAL,SKIPPED,https://standardcharges.dukehealth.org/562070036_Duke-University-Hospital_standardcharges.csv,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.139020+00:00,340032,CAROMONT REGIONAL MEDICAL CENTER,SKIPPED,https://caromonthealth.org/media/0nkb3bup/560619359_caromont-regional-medical-center_standardcharges.csv,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.139023+00:00,340037,ATRIUM HEALTH KINGS MOUNTAIN,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11166/560529945-1326442336_the-charlotte-mecklenburg-hospital-authority_standardcharges.csv,,,Data is 6.8 days old (max age: 30),
2026-01-28T19:31:29.139028+00:00,340038,ECU HEALTH BEAUFORT HOSPITAL,SKIPPED,https://www.ecuhealth.org/wp-content/uploads/2024/06/560585243_ecu-health-medical-center_standardcharges.zip,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.139032+00:00,340040,ECU HEALTH MEDICAL CENTER,SKIPPED,https://www.ecuhealth.org/wp-content/uploads/2024/06/560585243_ecu-health-medical-center_standardcharges.zip,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.139036+00:00,340042,ONSLOW MEMORIAL HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11821/562014989_onslow-memorial-hospital%2C-inc_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.139040+00:00,340027,UNC LENOIR HEALTH CARE,SKIPPED,https://rca.centaurihs.com/ptapp/#3903c4d6330984f9b7e84e01ab9e392c4786dfac56f8105778ef27c66cdf035,,,No scraper for format: None,
2026-01-28T19:31:29.139044+00:00,340047,ATRIUM HEALTH WAKE FOREST BAPTIST,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/11239/560552787_north-carolina-baptist-hospital_standardcharges.csv,,,Data is 6.7 days old (max age: 30),
2026-01-28T19:31:29.139048+00:00,340049,NORTH CAROLINA SPECIALTY HOSPITAL,SKIPPED,https://www.ncspecialty.com/files/562109998_North-Carolina-Specialty-Hospital_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
2026-01-28T19:31:29.139052+00:00,340053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,SKIPPED,https://www2.novanthealth.org/Public_Files/regulatory/56-0554230_novant_health_presbyterian_medical_center_standardcharges.csv,,,Data is 5.8 days old (max age: 30),
